None
Master Ball
Ultra Ball
Great Ball
Poké Ball
Safari Ball
Net Ball
Dive Ball
Nest Ball
Repeat Ball
Timer Ball
Luxury Ball
Premier Ball
Potion
Antidote
Burn Heal
Ice Heal
Awakening
Paralyze Heal
Full Restore
Max Potion
Hyper Potion
Super Potion
Full Heal
Revive
Max Revive
Fresh Water
Soda Pop
Lemonade
Moomoo Milk III
Energy Powder
Energy Root
Heal Powder
Revival Herb
Ether
Max Ether
Elixir
Max Elixir
Lava Cookie
Blue Flute
Yellow Flute
Red Flute
Black Flute
White Flute
Berry Juice
Sacred Ash
Shoal Salt
Shoal Shell
Red Shard
Blue Shard
Yellow Shard
Green Shard
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
HP Up
Protein
Iron
Carbos
Calcium
Rare Candy
PP Up
Zinc
PP Max
unknown
Guard Spec.
Dire Hit
X Attack
X Defense
X Speed
X Accuracy
X Sp. Atk
Poké Doll
Fluffy Tail
unknown
Super Repel
Max Repel
Escape Rope
Repel
unknown
unknown
unknown
unknown
unknown
unknown
Sun Stone
Moon Stone
Fire Stone
Thunder Stone
Water Stone
Leaf Stone
unknown
unknown
unknown
unknown
Tiny Mushroom
Big Mushroom
unknown
Pearl
Big Pearl
Stardust
Star Piece
Nugget
Heart Scale
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
Orange Mail
Harbor Mail
Glitter Mail
Mech Mail
Wood Mail
Wave Mail
Bead Mail
Shadow Mail
Tropic Mail
Dream Mail
Fab Mail
Retro Mail
Cheri Berry
Chesto Berry
Pecha Berry
Rawst Berry
Aspear Berry
Leppa Berry
Oran Berry
Persim Berry
Lum Berry
Sitrus Berry
Figy Berry
Wiki Berry
Mago Berry
Aguav Berry
Iapapa Berry
Razz Berry III
Bluk Berry
Nanab Berry III
Wepear Berry
Pinap Berry
Pomeg Berry
Kelpsy Berry
Qualot Berry
Hondew Berry
Grepa Berry
Tamato Berry
Cornn Berry
Magost Berry
Rabuta Berry
Nomel Berry
Spelon Berry
Pamtre Berry
Watmel Berry
Durin Berry
Belue Berry
Liechi Berry
Ganlon Berry
Salac Berry
Petaya Berry
Apicot Berry
Lansat Berry
Starf Berry
Enigma Berry
unknown
unknown
unknown
Bright Powder
White Herb
Macho Brace
Exp. Share
Quick Claw
Soothe Bell
Mental Herb
Choice Band
King's Rock
SilverPowder
Amulet Coin III
Cleanse Tag
Soul Dew
Deep Sea Tooth
Deep Sea Scale
Smoke Ball
Everstone
Focus Band
Lucky Egg
Scope Lens
Metal Coat
Leftovers
Dragon Scale
Light Ball
Soft Sand
Hard Stone
Miracle Seed
Black Glasses
Black Belt
Magnet
Mystic Water
Sharp Beak
Poison Barb
Never-Melt Ice
Spell Tag
Twisted Spoon
Charcoal
Dragon Fang
Silk Scarf
Up-Grade
Shell Bell
Sea Incense
Lax Incense
Lucky Punch
Metal Powder
Thick Club
Stick
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
unknown
Red Scarf
Blue Scarf
Pink Scarf
Green Scarf
Yellow Scarf
Mach Bike III
Coin Case
Itemfinder
Old Rod III
Good Rod III
Super Rod III
S.S. Ticket
Contest Pass
unknown
Wailmer Pail
Devon Parts
Soot Sack
Basement Key III
Acro Bike III
Pokéblock Case
Letter
Eon Ticket
Red Orb III
Blue Orb III
Scanner
Go-Goggles III
Meteorite
Key to Room 1
Key to Room 2
Key to Room 4
Key to Room 6
Storage Key III
Root Fossil
Claw Fossil
Devon Scope III
TM Fighting
TM Dragon
TM Water
TM Psychic
TM Normal
TM Poison
TM Ice
TM Fighting
TM Grass
TM Normal
TM Fire
TM Dark
TM Ice
TM Ice
TM Normal
TM Psychic
TM Normal
TM Water
TM Grass
TM Normal
TM Normal
TM Grass
TM Steel
TM Electric
TM Electric
TM Ground
TM Normal
TM Ground
TM Psychic
TM Ghost
TM Fighting
TM Normal
TM Psychic
TM Electric
TM Fire
TM Poison
TM Rock
TM Fire
TM Rock
TM Flying
TM Dark
TM Normal
TM Normal
TM Psychic
TM Normal
TM Dark
TM Steel
TM Psychic
TM Dark
TM Fire
HM Normal
HM Flying
HM Water
HM Normal
HM Normal
HM Fighting
HM Water
HM Water
unknown
unknown
Parcel
Poké Flute III
Secret Key III
Bike Voucher
Gold Teeth III
Old Amber
Card Key III
Lift Key III
Helix Fossil
Dome Fossil
Silph Scope III
Bicycle
Town Map III
Vs. Seeker
Fame Checker
TM Case
Berry Pouch
Teachy TV
Tri-Pass
Rainbow Pass
Tea III
MysticTicket
AuroraTicket
Powder Jar
Ruby
Sapphire
Magma Emblem
Old Sea Map
